crash_rate,episodes,lambda,mean_discounted_task_return,mean_discounted_theta_star_variation,mean_final_distance_to_pad,mean_final_speed,mean_max_abs_theta_tracking_error,mean_mean_abs_theta_tracking_error,mean_official_return,mean_task_return,mean_theta_star_variation,out_of_bounds_rate,success_rate,truncated_rate,wn,zeta
0.02666666666666667,150,15.0,27.420813184997375,0.23497370329248365,0.31119672874709503,0.0773824445753816,0.15004353991419275,0.02480549354740761,103.48443839581346,116.08695450906247,1.7821535174166327,0.1,0.68,0.19333333333333333,2.0,1.0
0.006666666666666667,150,15.0,28.942416773094457,0.26504272260867673,0.28875961020121294,0.057979930421091494,0.13813548038071521,0.020027366800695917,111.22664829070317,127.29911443073395,2.0593418944820767,0.1,0.7133333333333334,0.18,4.0,1.0
0.013333333333333334,150,15.0,29.72211388880764,0.2760647540869681,0.2816496099067642,0.051269426724783046,0.13717023285140176,0.017565021037913586,110.03399653020048,127.32138943695014,2.1463996543840698,0.08666666666666667,0.7,0.2,6.0,1.0
0.02,150,15.0,30.022475599378183,0.2808386207383234,0.27942611036412257,0.05225573004515845,0.1356437418342597,0.016408129496144678,105.18300567962933,123.15838655063689,2.2098857039227893,0.08666666666666667,0.68,0.21333333333333335,8.0,1.0
0.013333333333333334,150,15.0,30.251608955314385,0.28367865952338966,0.275222472151941,0.04636564815006105,0.1326693785350522,0.015961904314210285,109.56652014681138,127.69455174067922,2.223485479668397,0.08,0.6933333333333334,0.21333333333333335,10.0,1.0
0.02666666666666667,150,15.0,30.36035113752953,0.2854697773854877,0.2764195043498949,0.048517349471581754,0.1330411974380757,0.015534646534355427,108.69261125094863,126.94066969955253,2.2396148436680785,0.08,0.6933333333333334,0.2,12.0,1.0
0.02,150,30.0,27.54682472152176,0.184263255671599,0.3478956397999283,0.10474085898911262,0.18966939396994187,0.05407726870735658,107.4415878448788,107.82802182149824,1.2369712659116274,0.14666666666666667,0.6666666666666666,0.16666666666666666,0.5,0.3
0.02666666666666667,150,30.0,29.986154110614837,0.1844535754110967,0.27816930199201473,0.058828102668894655,0.13779044438493698,0.02065658043287134,125.8737297763754,127.37735942374594,1.2511906806405795,0.08666666666666667,0.7133333333333334,0.17333333333333334,1.0,0.3
0.013333333333333334,150,30.0,31.009014819354135,0.21298417096285263,0.27953812867606065,0.05447717983834641,0.136410945534174,0.016411163617567982,121.43186225199383,129.73955046486347,1.5448812900114308,0.09333333333333334,0.72,0.17333333333333334,2.0,0.3
0.013333333333333334,150,30.0,31.8978932785707,0.2285783965351601,0.26207950423905074,0.043103522320423374,0.13158291538237482,0.014227062907476102,123.87756447802715,135.3133266713056,1.695178261464988,0.07333333333333333,0.7266666666666667,0.18666666666666668,4.0,0.3
0.013333333333333334,150,30.0,32.1431952569786,0.24548246192685771,0.2624703815605124,0.04227160513668934,0.1323272585180732,0.014945086782754817,119.66662037482683,133.5905600754787,1.8890439642992647,0.07333333333333333,0.7066666666666667,0.20666666666666667,6.0,0.3
0.013333333333333334,150,30.0,32.53651903998114,0.26431715598165045,0.2499802230060879,0.03926761666170707,0.13696606214356088,0.01679906003743532,118.06526792532536,134.27178393424592,2.088315693083682,0.06666666666666667,0.7066666666666667,0.21333333333333335,8.0,0.3
0.013333333333333334,150,30.0,32.62154263945263,0.2751868803825493,0.24792480705342793,0.04002542820346486,0.13503379171665325,0.017319553057828306,116.83860583077268,134.07323926192157,2.177588541114996,0.06666666666666667,0.7066666666666667,0.21333333333333335,10.0,0.3
